,id,route_id,airline_id,departure_date,price,created_at
0,f9c8f77b-9f26-42c1-bd8c-45dae85d033c,1cbf0f58-1cba-46d8-8eec-f9c0ec5acd1f,df66ebda-424a-4644-92e9-8ff34e3be56d,2025-10-30,5680,2025-10-24T04:46:39.046096+00:00
1,6524bf45-40b8-4654-aaac-cbf8f951e065,1cbf0f58-1cba-46d8-8eec-f9c0ec5acd1f,4e9b1741-6fd4-47ef-ad87-3faff6bd6e40,2025-10-26,6244,2025-10-24T04:46:39.315211+00:00
2,ca688b45-e069-460f-9354-f75fd3d67329,1cbf0f58-1cba-46d8-8eec-f9c0ec5acd1f,df66ebda-424a-4644-92e9-8ff34e3be56d,2025-11-07,7479,2025-10-24T04:46:39.543931+00:00
3,b457f5c0-987a-423e-8946-35cb1f3959b0,1cbf0f58-1cba-46d8-8eec-f9c0ec5acd1f,df66ebda-424a-4644-92e9-8ff34e3be56d,2025-11-08,8633,2025-10-24T04:46:39.592916+00:00
4,fdfa541d-dcb5-4852-9f0d-6913c05f90ef,1cbf0f58-1cba-46d8-8eec-f9c0ec5acd1f,ae06a7d9-3a3c-4886-bbb2-61c275650128,2025-10-24,5859,2025-10-24T04:47:18.779529+00:00
5,a2cbc1e1-9385-4d5b-bbb5-4fba7d871e14,1cbf0f58-1cba-46d8-8eec-f9c0ec5acd1f,ae06a7d9-3a3c-4886-bbb2-61c275650128,2025-10-26,6377,2025-10-24T04:47:18.951312+00:00
6,e8b83252-a081-404a-a38b-9b7d53256ad9,d947b640-2157-43a7-b48a-b8c24d4807b3,df66ebda-424a-4644-92e9-8ff34e3be56d,2025-10-24,4264,2025-10-24T04:47:23.836361+00:00
7,6e437c9c-bcd9-41c2-bf42-7105439ae0cf,d947b640-2157-43a7-b48a-b8c24d4807b3,df66ebda-424a-4644-92e9-8ff34e3be56d,2025-11-01,4264,2025-10-24T04:47:24.131291+00:00
8,2a28eda5-91ea-4609-ad0d-ab134df7a9e2,c96034fb-d762-460a-a5a8-48829c121c1c,ae06a7d9-3a3c-4886-bbb2-61c275650128,2025-08-22,6189,2025-08-21T17:10:18.552263+00:00
9,afe28344-9094-4f5f-93dd-28481cefbe79,d947b640-2157-43a7-b48a-b8c24d4807b3,df66ebda-424a-4644-92e9-8ff34e3be56d,2025-11-03,4264,2025-10-24T04:47:24.223718+00:00
10,7f99d965-bc53-4792-8214-f05ae11b0437,c96034fb-d762-460a-a5a8-48829c121c1c,ae06a7d9-3a3c-4886-bbb2-61c275650128,2025-08-23,5399,2025-08-21T17:10:18.73986+00:00
11,7ae43207-bae4-42d9-ac87-f26102b34ace,d947b640-2157-43a7-b48a-b8c24d4807b3,df66ebda-424a-4644-92e9-8ff34e3be56d,2025-11-05,4264,2025-10-24T04:47:24.303481+00:00
12,be5e36cc-1062-4ed4-a0d8-b94e10e46683,c96034fb-d762-460a-a5a8-48829c121c1c,ae06a7d9-3a3c-4886-bbb2-61c275650128,2025-08-24,5399,2025-08-21T17:10:18.906623+00:00
13,147f57ef-8c8e-4d99-9abd-1626b328a510,d947b640-2157-43a7-b48a-b8c24d4807b3,df66ebda-424a-4644-92e9-8ff34e3be56d,2025-11-07,4264,2025-10-24T04:47:24.382767+00:00
14,56ccd433-d4bb-4db5-bea2-c0a44720cacb,c96034fb-d762-460a-a5a8-48829c121c1c,ae06a7d9-3a3c-4886-bbb2-61c275650128,2025-08-25,5399,2025-08-21T17:10:19.065815+00:00
15,8e04bda1-d0f4-499d-9787-9e03ea496906,d947b640-2157-43a7-b48a-b8c24d4807b3,ae06a7d9-3a3c-4886-bbb2-61c275650128,2025-10-24,4319,2025-10-24T04:47:30.063741+00:00
16,7824263a-e71c-40ec-9f45-2ca52b306a1d,c96034fb-d762-460a-a5a8-48829c121c1c,ae06a7d9-3a3c-4886-bbb2-61c275650128,2025-08-26,5399,2025-08-21T17:10:19.228258+00:00
17,1c464c44-f955-4076-9b92-a1aa8ae5cf81,d947b640-2157-43a7-b48a-b8c24d4807b3,ae06a7d9-3a3c-4886-bbb2-61c275650128,2025-10-26,8361,2025-10-24T04:47:30.1952+00:00
